,zipcode,No High School Diploma,High School Diploma,Some College,College or Higher
0,40023,2.390274057284154,19.61673191840099,30.517205852050278,47.47578817226458
0,40025,1.0548523206751055,3.375527426160337,5.274261603375527,90.29535864978902
0,40041,1.9305019305019304,18.91891891891892,37.06563706563706,42.084942084942085
0,40047,8.249013891270794,31.869890813468242,36.48888126679243,23.39221402846853
0,40059,1.6669897266912193,10.23454157782516,21.703172449441105,66.3952962460425
0,40067,6.59208949260887,28.08629644426688,30.463443867359167,34.858170195765084
0,40118,16.95680206318504,47.65957446808511,24.758220502901356,10.625402965828497
0,40177,17.429718875502008,38.393574297188756,28.835341365461847,15.341365461847388
0,40202,16.893573415312545,30.127360562143167,25.018298931342407,27.96076709120187
0,40203,14.705882352941178,34.1344138605561,31.15132038563644,20.008383400866283
0,40204,3.6637931034482754,12.124840357598979,22.325989782886335,61.885376756066414
0,40205,2.848621966269025,14.099136157959688,23.884204031262854,59.16803784450843
0,40206,5.4319560820572095,16.47500722334585,24.7442935567755,53.348743137821444
0,40207,2.4432283362778473,10.44943336062395,21.252208385400955,65.85512991769724
0,40208,7.35944164404808,25.211322217913917,43.90849166343544,23.52074447460256
0,40209,30.751708428246015,19.58997722095672,38.95216400911162,10.70615034168565
0,40210,18.276168824750417,35.40575269348621,36.789562123159044,9.528516358604328
0,40211,14.037389307969828,40.74778615939652,35.277140045916695,9.937684486716956
0,40212,19.987886129618413,44.345418361166395,24.271004585965215,11.395690923249978
0,40213,9.608455440787893,31.595804307790853,35.00680598927055,23.788934262150693
0,40214,15.194407533653012,32.25778496735802,31.466289213703853,21.08151828528511
0,40215,21.670634364934884,39.01414367735611,27.412127153059796,11.903094804649209
0,40216,14.287419075748083,41.352665652316595,31.814791610728243,12.545123661207077
0,40217,4.577161968466316,20.535117056856187,30.539894887720976,44.34782608695652
0,40218,11.408343054829237,33.23544792630436,28.677742467516794,26.67846655134961
0,40219,12.215899172572705,37.0457005201969,32.601333659183744,18.137066648046645
0,40220,4.614146145120568,22.470635588568918,30.48044202129606,42.434776245014454
0,40222,4.156688333903523,17.077203786064548,23.47474056334816,55.29136731668377
0,40223,2.78955590270029,15.950680651640258,25.329167596518637,55.930595849140815
0,40228,4.896832316187155,29.9113629758791,35.91252542865446,29.27927927927928
0,40229,11.14589447596687,35.60946977108198,30.51914172047218,22.725494032478966
0,40241,3.6258366525684718,15.070011908183798,26.534718515172667,54.76943292407507
0,40242,5.278276481149013,20.263315380011967,28.31837223219629,46.14003590664273
0,40243,4.237115502138929,17.243837848849054,29.73110613159503,48.78794051741699
0,40245,4.732557756319414,14.009821046040273,26.49705039053488,54.760570807105424
0,40258,12.765239197530864,38.30536265432099,35.01639660493827,13.913001543209877
0,40272,10.451779844744388,39.14259738443248,32.205049304147146,18.20057346667599
0,40291,5.476930887859364,28.83797677222822,35.13993780541981,30.545154534492607
0,40299,5.709081773646527,22.264790855420173,32.517899761336515,39.50822760959679
