,zipcode,Children Population Percentage,Teen Population Percentage,Adult Population Percentage
0,40023,0.1216841455891425,0.16378778531770513,0.7145280690931524
0,40025,0.15184049079754602,0.12269938650306748,0.7254601226993865
0,40041,0.0,0.0,1.0
0,40047,0.14520725388601036,0.12353195164075993,0.7312607944732297
0,40059,0.09457761696567667,0.1456354590682949,0.7597869239660284
0,40067,0.09307532384455461,0.12122181352950584,0.7857028626259396
0,40118,0.1509643542360901,0.09229526406139554,0.7567403817025143
0,40177,0.14566687154271665,0.11677934849416104,0.7375537799631223
0,40202,0.008158672105781403,0.0423406948937966,0.949500633000422
0,40203,0.10912200684150514,0.11476624857468642,0.7761117445838084
0,40204,0.058852903409901555,0.06042231416749893,0.8807247824225996
0,40205,0.10548592562153278,0.13174440106841998,0.7627696733100473
0,40206,0.08026542147947899,0.08287048414843942,0.8368640943720816
0,40207,0.10198023259874969,0.09723046834072574,0.8007892990605245
0,40208,0.07470399686007718,0.22699025315627658,0.6983057499836463
0,40209,0.06304728546409807,0.1681260945709282,0.7688266199649737
0,40210,0.15380289610572193,0.16469843947701393,0.6814986644172641
0,40211,0.12246633593196314,0.17585636664304277,0.7016772974249941
0,40212,0.10039577836411609,0.16893139841688654,0.7306728232189974
0,40213,0.1128124011388801,0.11325529895602657,0.7739322999050934
0,40214,0.13882485973992084,0.1346496759883443,0.7265254642717349
0,40215,0.13567167249537132,0.15192347253651511,0.7124048549681136
0,40216,0.11861347226030527,0.13728178411479755,0.7441047436248972
0,40217,0.08283323472233961,0.036429718536049364,0.880737046741611
0,40218,0.13234410669229846,0.14510993632103808,0.7225459569866635
0,40219,0.14549824839542794,0.14378500012785436,0.7107167514767178
0,40220,0.13150208007553182,0.07724308854335704,0.7912548313811112
0,40222,0.1186095960062864,0.08126097809004346,0.8001294259036702
0,40223,0.11928301237964237,0.12315165061898212,0.7575653370013755
0,40228,0.1370396409063869,0.13763452490400735,0.7253258341896057
0,40229,0.11800574784455829,0.12650256153942271,0.755491690616019
0,40241,0.12504043998705922,0.10611452604335167,0.7688450339695891
0,40242,0.14830164879718893,0.10874853590413551,0.7429498152986755
0,40243,0.08490331147813096,0.11702215951531247,0.7980745290065565
0,40245,0.12101067216830952,0.13514683782888873,0.7438424900028018
0,40258,0.10661902971041745,0.13290710793531402,0.7604738623542685
0,40272,0.11879239260539966,0.14063040297911955,0.7405772044154808
0,40291,0.14330458247000433,0.11776610610514142,0.7389293114248542
0,40299,0.11882849199501486,0.13399961652765793,0.7471718914773272
